,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
130,NFO,71449,50,NIFTY,NIFTY25JUN26P8000,25-JUN-2026,OPTIDX,PE,8000.0,0.05,
131,NFO,71448,50,NIFTY,NIFTY25JUN26C8000,25-JUN-2026,OPTIDX,CE,8000.0,0.05,
132,NFO,71403,50,NIFTY,NIFTY24DEC25P26000,24-DEC-2025,OPTIDX,PE,26000.0,0.05,
133,NFO,71399,50,NIFTY,NIFTY24DEC25C26000,24-DEC-2025,OPTIDX,CE,26000.0,0.05,
134,NFO,71398,50,NIFTY,NIFTY24DEC25P25000,24-DEC-2025,OPTIDX,PE,25000.0,0.05,
135,NFO,71395,50,NIFTY,NIFTY24DEC25C25000,24-DEC-2025,OPTIDX,CE,25000.0,0.05,
136,NFO,71394,50,NIFTY,NIFTY24DEC25P24000,24-DEC-2025,OPTIDX,PE,24000.0,0.05,
137,NFO,71393,50,NIFTY,NIFTY24DEC25C24000,24-DEC-2025,OPTIDX,CE,24000.0,0.05,
138,NFO,71392,50,NIFTY,NIFTY24DEC25P9000,24-DEC-2025,OPTIDX,PE,9000.0,0.05,
139,NFO,71391,50,NIFTY,NIFTY24DEC25C9000,24-DEC-2025,OPTIDX,CE,9000.0,0.05,
140,NFO,71390,50,NIFTY,NIFTY24DEC25P8000,24-DEC-2025,OPTIDX,PE,8000.0,0.05,
141,NFO,71389,50,NIFTY,NIFTY24DEC25C8000,24-DEC-2025,OPTIDX,CE,8000.0,0.05,
142,NFO,71384,50,NIFTY,NIFTY26JUN25P26000,26-JUN-2025,OPTIDX,PE,26000.0,0.05,
143,NFO,71383,50,NIFTY,NIFTY26JUN25C26000,26-JUN-2025,OPTIDX,CE,26000.0,0.05,
144,NFO,71382,50,NIFTY,NIFTY26JUN25P25000,26-JUN-2025,OPTIDX,PE,25000.0,0.05,
145,NFO,71381,50,NIFTY,NIFTY26JUN25C25000,26-JUN-2025,OPTIDX,CE,25000.0,0.05,
146,NFO,71380,50,NIFTY,NIFTY26JUN25P24000,26-JUN-2025,OPTIDX,PE,24000.0,0.05,
147,NFO,71379,50,NIFTY,NIFTY26JUN25C24000,26-JUN-2025,OPTIDX,CE,24000.0,0.05,
148,NFO,71378,50,NIFTY,NIFTY26JUN25P9000,26-JUN-2025,OPTIDX,PE,9000.0,0.05,
149,NFO,71377,50,NIFTY,NIFTY26JUN25C9000,26-JUN-2025,OPTIDX,CE,9000.0,0.05,
150,NFO,71376,50,NIFTY,NIFTY26JUN25P8000,26-JUN-2025,OPTIDX,PE,8000.0,0.05,
151,NFO,71375,50,NIFTY,NIFTY26JUN25C8000,26-JUN-2025,OPTIDX,CE,8000.0,0.05,
152,NFO,71365,50,NIFTY,NIFTY26DEC24P26000,26-DEC-2024,OPTIDX,PE,26000.0,0.05,
153,NFO,71364,50,NIFTY,NIFTY26DEC24C26000,26-DEC-2024,OPTIDX,CE,26000.0,0.05,
154,NFO,71363,50,NIFTY,NIFTY26DEC24P25000,26-DEC-2024,OPTIDX,PE,25000.0,0.05,
155,NFO,71362,50,NIFTY,NIFTY26DEC24C25000,26-DEC-2024,OPTIDX,CE,25000.0,0.05,
156,NFO,71355,50,NIFTY,NIFTY26DEC24P24000,26-DEC-2024,OPTIDX,PE,24000.0,0.05,
157,NFO,71354,50,NIFTY,NIFTY26DEC24C24000,26-DEC-2024,OPTIDX,CE,24000.0,0.05,
158,NFO,71353,50,NIFTY,NIFTY26DEC24P9000,26-DEC-2024,OPTIDX,PE,9000.0,0.05,
159,NFO,71352,50,NIFTY,NIFTY26DEC24C9000,26-DEC-2024,OPTIDX,CE,9000.0,0.05,
160,NFO,71351,50,NIFTY,NIFTY26DEC24P8000,26-DEC-2024,OPTIDX,PE,8000.0,0.05,
161,NFO,71350,50,NIFTY,NIFTY26DEC24C8000,26-DEC-2024,OPTIDX,CE,8000.0,0.05,
162,NFO,71309,50,NIFTY,NIFTY27JUN24P26000,27-JUN-2024,OPTIDX,PE,26000.0,0.05,
163,NFO,71308,50,NIFTY,NIFTY27JUN24C26000,27-JUN-2024,OPTIDX,CE,26000.0,0.05,
164,NFO,71307,50,NIFTY,NIFTY27JUN24P25000,27-JUN-2024,OPTIDX,PE,25000.0,0.05,
165,NFO,71302,50,NIFTY,NIFTY27JUN24C25000,27-JUN-2024,OPTIDX,CE,25000.0,0.05,
166,NFO,71301,50,NIFTY,NIFTY27JUN24P24000,27-JUN-2024,OPTIDX,PE,24000.0,0.05,
167,NFO,71298,50,NIFTY,NIFTY27JUN24C24000,27-JUN-2024,OPTIDX,CE,24000.0,0.05,
168,NFO,71297,50,NIFTY,NIFTY27JUN24P9000,27-JUN-2024,OPTIDX,PE,9000.0,0.05,
169,NFO,71296,50,NIFTY,NIFTY27JUN24C9000,27-JUN-2024,OPTIDX,CE,9000.0,0.05,
170,NFO,71295,50,NIFTY,NIFTY27JUN24P8000,27-JUN-2024,OPTIDX,PE,8000.0,0.05,
171,NFO,71294,50,NIFTY,NIFTY27JUN24C8000,27-JUN-2024,OPTIDX,CE,8000.0,0.05,
172,NFO,71289,50,NIFTY,NIFTY28DEC23P26000,28-DEC-2023,OPTIDX,PE,26000.0,0.05,
173,NFO,71288,50,NIFTY,NIFTY28DEC23C26000,28-DEC-2023,OPTIDX,CE,26000.0,0.05,
174,NFO,71287,50,NIFTY,NIFTY28DEC23P25000,28-DEC-2023,OPTIDX,PE,25000.0,0.05,
175,NFO,71286,50,NIFTY,NIFTY28DEC23C25000,28-DEC-2023,OPTIDX,CE,25000.0,0.05,
176,NFO,71285,50,NIFTY,NIFTY28DEC23P24000,28-DEC-2023,OPTIDX,PE,24000.0,0.05,
177,NFO,71268,50,NIFTY,NIFTY28DEC23C24000,28-DEC-2023,OPTIDX,CE,24000.0,0.05,
178,NFO,71267,50,NIFTY,NIFTY28DEC23P9000,28-DEC-2023,OPTIDX,PE,9000.0,0.05,
179,NFO,71266,50,NIFTY,NIFTY28DEC23C9000,28-DEC-2023,OPTIDX,CE,9000.0,0.05,
180,NFO,71265,50,NIFTY,NIFTY28DEC23P8000,28-DEC-2023,OPTIDX,PE,8000.0,0.05,
181,NFO,71264,50,NIFTY,NIFTY28DEC23C8000,28-DEC-2023,OPTIDX,CE,8000.0,0.05,
182,NFO,71254,50,NIFTY,NIFTY29JUN23P26000,29-JUN-2023,OPTIDX,PE,26000.0,0.05,
183,NFO,71253,50,NIFTY,NIFTY29JUN23C26000,29-JUN-2023,OPTIDX,CE,26000.0,0.05,
184,NFO,71252,50,NIFTY,NIFTY29JUN23P25000,29-JUN-2023,OPTIDX,PE,25000.0,0.05,
185,NFO,71248,50,NIFTY,NIFTY29JUN23C25000,29-JUN-2023,OPTIDX,CE,25000.0,0.05,
186,NFO,71247,50,NIFTY,NIFTY29JUN23P24000,29-JUN-2023,OPTIDX,PE,24000.0,0.05,
187,NFO,71246,50,NIFTY,NIFTY29JUN23C24000,29-JUN-2023,OPTIDX,CE,24000.0,0.05,
188,NFO,71245,50,NIFTY,NIFTY29JUN23P9000,29-JUN-2023,OPTIDX,PE,9000.0,0.05,
189,NFO,71239,50,NIFTY,NIFTY29JUN23C9000,29-JUN-2023,OPTIDX,CE,9000.0,0.05,
190,NFO,71238,50,NIFTY,NIFTY29JUN23P8000,29-JUN-2023,OPTIDX,PE,8000.0,0.05,
191,NFO,71237,50,NIFTY,NIFTY29JUN23C8000,29-JUN-2023,OPTIDX,CE,8000.0,0.05,
192,NFO,71232,50,NIFTY,NIFTY29MAR23P26000,29-MAR-2023,OPTIDX,PE,26000.0,0.05,
193,NFO,71228,50,NIFTY,NIFTY29MAR23C26000,29-MAR-2023,OPTIDX,CE,26000.0,0.05,
194,NFO,71227,50,NIFTY,NIFTY29MAR23P25000,29-MAR-2023,OPTIDX,PE,25000.0,0.05,
195,NFO,71226,50,NIFTY,NIFTY29MAR23C25000,29-MAR-2023,OPTIDX,CE,25000.0,0.05,
196,NFO,71225,50,NIFTY,NIFTY29MAR23P24000,29-MAR-2023,OPTIDX,PE,24000.0,0.05,
197,NFO,71220,50,NIFTY,NIFTY29MAR23C24000,29-MAR-2023,OPTIDX,CE,24000.0,0.05,
198,NFO,71219,50,NIFTY,NIFTY29MAR23P9000,29-MAR-2023,OPTIDX,PE,9000.0,0.05,
199,NFO,71218,50,NIFTY,NIFTY29MAR23C9000,29-MAR-2023,OPTIDX,CE,9000.0,0.05,
200,NFO,71217,50,NIFTY,NIFTY29MAR23P8000,29-MAR-2023,OPTIDX,PE,8000.0,0.05,
201,NFO,71216,50,NIFTY,NIFTY29MAR23C8000,29-MAR-2023,OPTIDX,CE,8000.0,0.05,
202,NFO,71215,50,NIFTY,NIFTY29MAR23P7000,29-MAR-2023,OPTIDX,PE,7000.0,0.05,
203,NFO,71214,50,NIFTY,NIFTY29MAR23C7000,29-MAR-2023,OPTIDX,CE,7000.0,0.05,
204,NFO,71213,50,NIFTY,NIFTY29MAR23P6000,29-MAR-2023,OPTIDX,PE,6000.0,0.05,
205,NFO,71212,50,NIFTY,NIFTY29MAR23C6000,29-MAR-2023,OPTIDX,CE,6000.0,0.05,
206,NFO,58730,50,NIFTY,NIFTY23FEB23P21500,23-FEB-2023,OPTIDX,PE,21500.0,0.05,
207,NFO,58729,50,NIFTY,NIFTY23FEB23C21500,23-FEB-2023,OPTIDX,CE,21500.0,0.05,
208,NFO,58728,50,NIFTY,NIFTY23FEB23P21450,23-FEB-2023,OPTIDX,PE,21450.0,0.05,
209,NFO,58727,50,NIFTY,NIFTY23FEB23C21450,23-FEB-2023,OPTIDX,CE,21450.0,0.05,
210,NFO,58726,50,NIFTY,NIFTY23FEB23P21400,23-FEB-2023,OPTIDX,PE,21400.0,0.05,
211,NFO,58725,50,NIFTY,NIFTY23FEB23C21400,23-FEB-2023,OPTIDX,CE,21400.0,0.05,
212,NFO,58724,50,NIFTY,NIFTY23FEB23P21350,23-FEB-2023,OPTIDX,PE,21350.0,0.05,
213,NFO,58723,50,NIFTY,NIFTY23FEB23C21350,23-FEB-2023,OPTIDX,CE,21350.0,0.05,
214,NFO,58722,50,NIFTY,NIFTY23FEB23P21300,23-FEB-2023,OPTIDX,PE,21300.0,0.05,
215,NFO,58721,50,NIFTY,NIFTY23FEB23C21300,23-FEB-2023,OPTIDX,CE,21300.0,0.05,
216,NFO,58720,50,NIFTY,NIFTY23FEB23P21250,23-FEB-2023,OPTIDX,PE,21250.0,0.05,
217,NFO,58719,50,NIFTY,NIFTY23FEB23C21250,23-FEB-2023,OPTIDX,CE,21250.0,0.05,
218,NFO,58718,50,NIFTY,NIFTY23FEB23P21200,23-FEB-2023,OPTIDX,PE,21200.0,0.05,
219,NFO,58717,50,NIFTY,NIFTY23FEB23C21200,23-FEB-2023,OPTIDX,CE,21200.0,0.05,
220,NFO,58716,50,NIFTY,NIFTY23FEB23P21150,23-FEB-2023,OPTIDX,PE,21150.0,0.05,
221,NFO,58715,50,NIFTY,NIFTY23FEB23C21150,23-FEB-2023,OPTIDX,CE,21150.0,0.05,
222,NFO,58714,50,NIFTY,NIFTY23FEB23P21100,23-FEB-2023,OPTIDX,PE,21100.0,0.05,
